@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,551,0,175,0,1,1,0.758953,1,0.241047,0.86296,1,1,0.000043
1,551,0,174,1,0.994286,1,0.76,1,0.24,0.863636,0.998623,1.001379,0.000047
2,551,0,173,2,0.988571,1,0.76105,1,0.23895,0.864314,0.997245,1.002762,0.000057
3,551,0,172,3,0.982857,1,0.762102,1,0.237898,0.864992,0.995868,1.004149,0.000072
4,551,0,171,4,0.977143,1,0.763158,1,0.236842,0.865672,0.99449,1.00554,0.000092
5,550,1,171,4,0.977143,0.998185,0.762829,0.998185,0.237171,0.86478,0.993113,1.005107,0.000099
6,550,1,170,5,0.971429,0.998185,0.763889,0.998185,0.236111,0.86546,0.991736,1.006503,0.000127
7,549,2,170,5,0.971429,0.99637,0.763561,0.99637,0.236439,0.864567,0.990358,1.006071,0.000128
8,548,3,170,5,0.971429,0.994555,0.763231,0.994555,0.236769,0.863672,0.988981,1.005637,0.000128
9,548,3,169,6,0.965714,0.994555,0.764296,0.994555,0.235704,0.864353,0.987603,1.007039,0.000135
10,548,3,168,7,0.96,0.994555,0.765363,0.994555,0.234637,0.865036,0.986226,1.008446,0.000142
11,548,3,167,8,0.954286,0.994555,0.766434,0.994555,0.233566,0.865719,0.984848,1.009856,0.000143
12,548,3,166,9,0.948571,0.994555,0.767507,0.994555,0.232493,0.866403,0.983471,1.011271,0.000145
13,548,3,165,10,0.942857,0.994555,0.768583,0.994555,0.231417,0.867089,0.982094,1.012689,0.000151
14,548,3,164,11,0.937143,0.994555,0.769663,0.994555,0.230337,0.867775,0.980716,1.014111,0.000156
15,548,3,163,12,0.931429,0.994555,0.770745,0.994555,0.229255,0.868463,0.979339,1.015538,0.000168
16,548,3,162,13,0.925714,0.994555,0.771831,0.994555,0.228169,0.869151,0.977961,1.016968,0.000193
17,548,3,161,14,0.92,0.994555,0.77292,0.994555,0.22708,0.869841,0.976584,1.018402,0.000202
18,547,4,161,14,0.92,0.99274,0.772599,0.99274,0.227401,0.868944,0.975207,1.01798,0.000218
19,547,4,160,15,0.914286,0.99274,0.773692,0.99274,0.226308,0.869634,0.973829,1.019419,0.000228
20,546,5,160,15,0.914286,0.990926,0.773371,0.990926,0.226629,0.868735,0.972452,1.018997,0.000244
21,546,5,159,16,0.908571,0.990926,0.774468,0.990926,0.225532,0.869427,0.971074,1.020443,0.000262
22,546,5,158,17,0.902857,0.990926,0.775568,0.990926,0.224432,0.87012,0.969697,1.021892,0.000269
23,546,5,157,18,0.897143,0.990926,0.776671,0.990926,0.223329,0.870813,0.96832,1.023346,0.000315
24,546,5,156,19,0.891429,0.990926,0.777778,0.990926,0.222222,0.871508,0.966942,1.024803,0.000318
25,546,5,155,20,0.885714,0.990926,0.778887,0.990926,0.221113,0.872204,0.965565,1.026265,0.000367
26,546,5,154,21,0.88,0.990926,0.78,0.990926,0.22,0.872902,0.964187,1.027731,0.000409
27,546,5,153,22,0.874286,0.990926,0.781116,0.990926,0.218884,0.8736,0.96281,1.029202,0.000485
28,546,5,152,23,0.868571,0.990926,0.782235,0.990926,0.217765,0.874299,0.961433,1.030676,0.000596
29,546,5,151,24,0.862857,0.990926,0.783357,0.990926,0.216643,0.875,0.960055,1.032155,0.000599
30,546,5,150,25,0.857143,0.990926,0.784483,0.990926,0.215517,0.875702,0.958678,1.033638,0.000656
31,546,5,149,26,0.851429,0.990926,0.785612,0.990926,0.214388,0.876404,0.9573,1.035125,0.000665
32,546,5,148,27,0.845714,0.990926,0.786744,0.990926,0.213256,0.877108,0.955923,1.036617,0.000743
